0,Product,""
1,Animals & Pet Supplies,""
3237,Live Animals,""
2,Pet Supplies,""
3,Bird Supplies,""
7385,Bird Cage Accessories,""
499954,Bird Cage Bird Baths,""
7386,Bird Cage Food & Water Dishes,""
4989,Bird Cages & Stands,""
4990,Bird Food,""
7398,Bird Gyms & Playstands,""
4991,Bird Ladders & Perches,""
4992,Bird Toys,""
4993,Bird Treats,""
4,Cat Supplies,""
5082,Cat Apparel,""
4433,Cat Beds,""
3367,Cat Food,""
4997,Cat Furniture,""
500059,Cat Furniture Accessories,""
4999,Cat Litter,""
8069,Cat Litter Box Liners,""
7142,Cat Litter Box Mats,""
5000,Cat Litter Boxes,""
5001,Cat Toys,""
5002,Cat Treats,""
5,Dog Supplies,""
5004,Dog Apparel,""
4434,Dog Beds,""
7372,Dog Diaper Pads & Liners,""
499900,Dog Diapers,""
3530,Dog Food,""
5094,Dog Houses,""
7428,Dog Kennel & Run Accessories,""
7274,Dog Kennels & Runs,""
5010,Dog Toys,""
8123,Dog Treadmills,""
5011,Dog Treats,""
6,Fish Supplies,""
505303,Aquarium & Pond Tubing,""
505307,Aquarium Air Stones & Diffusers,""
500038,Aquarium Cleaning Supplies,""
5019,Aquarium Decor,""
5020,Aquarium Filters,""
505306,Aquarium Fish Nets,""
5021,Aquarium Gravel & Substrates,""
5079,Aquarium Lighting,""
6951,Aquarium Overflow Boxes,""
5023,Aquarium Stands,""
500062,Aquarium Temperature Controllers,""
5161,Aquarium Water Treatments,""
3238,Aquariums,""
6085,Aquatic Plant Fertilizers,""
6403,Fish Feeders,""
5024,Fish Food,""
6983,Pet Agility Equipment,""
6811,Pet Apparel Hangers,""
500084,Pet Bed Accessories,""
5092,Pet Bells & Charms,""
6978,Pet Biometric Monitors,""
6980,Pet Glucose Meters,""
6982,Pet Pedometers,""
6981,Pet Thermometers,""
7143,Pet Bowl Mats,""
8513,Pet Bowl Stands,""
6252,Pet Bowls Feeders & Waterers,""
500026,Pet Carrier & Crate Accessories,""
6251,Pet Carriers & Crates,""
6250,Pet Collars & Harnesses,""
6321,Pet Containment Systems,""
505811,Pet Door Accessories,""
4497,Pet Doors,""
8050,Pet Eye Drops & Lubricants,""
8068,Pet First Aid & Emergency Kits,""
6248,Pet Flea & Tick Control,""
5162,Pet Food Containers,""
5163,Pet Food Scoops,""
