00002,499927,weight,gm,00002-499927-weight
00002,499927,dimensions1,cm,00002-499927-dimensions1
00002,499927,dimensions2,cm,00002-499927-dimensions2
00002,499927,dimensions3,cm,00002-499927-dimensions3
00002,499927,color,"",00002-499927-color
00002,499927,manufacturerName,"",00002-499927-manufacturerName
00002,499927,mfgDate,"",00002-499927-mfgDate
00002,499927,price,"rs",00002-499927-price
00002,499927,url,"",00002-499927-url
00002,499927,instructions,"",00001-0-instructionsValRule
00002,499927,subInstruction1,"",00001-0-subInstructionsValRule
00002,499927,subInstruction2,"",00001-0-subInstructionsValRule
00002,499927,subInstruction3,"",00001-0-subInstructionsValRule
00002,499927,subInstruction4,"",00001-0-subInstructionsValRule
00002,499927,subInstruction5,"",00001-0-instructionsValRule
00002,499927,subInstruction6,"",00001-0-instructionsValRule
00002,499927,subInstruction7,"",00001-0-instructionsValRule
00002,499927,subInstruction8,"",00001-0-instructionsValRule
00002,499927,subInstruction5-01,"",00001-0-subInstructionsValRule
00002,499927,subInstruction5-02,"",00001-0-subInstructionsValRule
00002,499927,subInstruction6-01,"",00001-0-subInstructionsValRule
00002,499927,subInstruction6-02,"",00001-0-subInstructionsValRule
00002,499927,subInstruction7-01,"",00001-0-subInstructionsValRule
00002,499927,subInstruction7-02,"",00001-0-subInstructionsValRule
00002,499927,subInstruction8-01,"",00001-0-subInstructionsValRule
00002,499927,subInstruction8-02,"",00001-0-subInstructionsValRule
00002,499927,helmetGlass,"",00002-499927-helmetGlass
00002,499927,helmetMaterial,"",00002-499927-helmetMaterial
00002,499927,sizeOfHelmet,"",00002-499927-sizeOfHelmet
00002,499927,isHelmetWaterproof,"",00001-0-yesNoTypeValRule
00002,499927,isHelmetSmart,"",00001-0-yesNoTypeValRule
00002,499927,helmetFeatures,"",00002-499927-helmetFeatures
00002,499927,protection,"",00002-499927-protection
00002,499927,arcWelding,"",00002-499927-arcWelding
00002,499927,weldingLens,"",00002-499927-weldingLens
00002,499927,ultravioletLightProtection,"",00002-499927-ultravioletLightProtection
00002,499927,isSparksProection,"",00001-0-yesNoTypeValRule
00002,499927,infraredLightProtection,"",00002-499927-infraredLightProtection
00002,499927,heatProtection,"",00002-499927-heatProtection
00002,499927,isShieldedMetalArcWelding,"",00001-0-yesNoTypeValRule
00002,499927,isGasTungstenArcWelding,"",00001-0-yesNoTypeValRule
00002,499927,isGasMetalArcWelding,"",00001-0-yesNoTypeValRule
00002,499927,weldingLensGlassThickness,"",00002-499927-01-weldingLensGlassThickness
00002,499927,weldingLensColor,"",00002-499927-weldingLensColor
00002,499927,weldingLensShade,"",00002-499927-weldingLensShade
00002,499927-01,weight,gm,00002-499927-01-weight
00002,499927-01,dimensions1,cm,00002-499927-01-dimensions1
00002,499927-01,dimensions2,cm,00002-499927-01-dimensions2
00002,499927-01,dimensions3,cm,00002-499927-01-dimensions3
00002,499927-01,color,"",00002-499927-01-color
00002,499927-01,manufacturerName,"",00002-499927-01-manufacturerName
00002,499927-01,mfgDate,"",00002-499927-01-mfgDate
00002,499927-01,price,"rs",00002-499927-01-price
00002,499927-01,url,"",00002-499927-01-url
00002,499927-01,helmetGlass,"",00002-499927-01-helmetGlass
00002,499927-01,helmetMaterial,"",00002-499927-01-helmetMaterial
00002,499927-01,sizeOfHelmet,"",00002-499927-01-sizeOfHelmet
00002,499927-01,isHelmetWaterproof,"",00001-0-yesNoTypeValRule
00002,499927-01,isHelmetSmart,"",00001-0-yesNoTypeValRule
00002,499927-01,helmetFeatures,"",00002-499927-01-helmetFeatures
00002,499927-01,protection,"",00002-499927-01-protection
00002,499927-01,arcWelding,"",00002-499927-01-arcWelding
00002,499927-01,weldingLens,"",00002-499927-01-weldingLens
00002,499927-01,ultravioletLightProtection,"",00002-499927-01-ultravioletLightProtection
00002,499927-01,isSparksProtection,"",00001-0-yesNoTypeValRule
00002,499927-01,infraredLightProtection,"",00002-499927-01-infraredLightProtection
00002,499927-01,heatProtection,"",00002-499927-01-heatProtection
00002,499927-01,isShieldedMetalArcWelding,"",00001-0-yesNoTypeValRule
00002,499927-01,isGasTungstenArcWelding,"",00001-0-yesNoTypeValRule
00002,499927-01,isGasMetalArcWelding,"",00001-0-yesNoTypeValRule
00002,499927-01,weldingLensGlassThickness,"",00002-499927-01-weldingLensGlassThickness
00002,499927-01,weldingLensColor,"",00002-499927-01-weldingLensColor
00002,499927-01,weldingLensShade,"",00002-499927-01-weldingLensShade
00002,499927-02,weight,gm,00002-499927-02-weight
00002,499927-02,dimensions1,cm,00002-499927-02-dimensions1
00002,499927-02,dimensions2,cm,00002-499927-02-dimensions2
00002,499927-02,dimensions3,cm,00002-499927-02-dimensions3
00002,499927-02,color,"",00002-499927-02-color
00002,499927-02,manufacturerName,"",00002-499927-02-manufacturerName
00002,499927-02,mfgDate,"",00002-499927-02-mfgDate
00002,499927-02,price,"rs",00002-499927-02-price
00002,499927-02,url,"",00002-499927-02-url
